File_Name, Observation_Time_MJD, Relative_Star_Counts, Target_Star_Counts, Reference_Star_Counts
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0001.fit 59417.18130826623 -30488.320496275788 9081.685845589964 39570.00634186575
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0002.fit 59417.18284853951 -31366.65084524057 8465.237645206042 39831.88849044661
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0003.fit 59417.18415869547 -32012.485684012296 8733.222610535333 40745.70829454763
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0004.fit 59417.18550644616 -33242.25967464736 8512.29761620285 41754.55729085021
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0005.fit 59417.18697744465 -31124.716632879805 7895.81342075835 39020.530053638155
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0006.fit 59417.18842561776 -30142.514119985048 8710.737217031885 38853.25133701693
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0007.fit 59417.189877865174 -30764.53135020216 8565.145663307281 39329.67701350944
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0008.fit 59417.191153065425 -30851.984110076446 6777.4950366937555 37629.4791467702
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0009.fit 59417.192478141216 -29096.189584785607 10164.909993703011 39261.09957848862
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0010.fit 59417.193815034814 -29217.231467633042 9651.804433243116 38869.03590087616
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0011.fit 59417.19515291226 -30897.902169006877 9054.803825170733 39952.70599417761
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0012.fit 59417.196553709975 -26479.264688460855 11047.569037171314 37526.83372563217
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0014.fit 59417.19923319194 -29696.68279918912 7338.966828913195 37035.649628102314
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0015.fit 59417.200656803456 -26991.815281185787 9888.36515990179 36880.18044108758
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0016.fit 59417.20206072635 -26135.264382051537 11979.343374097487 38114.607756149024
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0017.fit 59417.20335277941 -29078.581117254216 6976.453002266586 36055.0341195208
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0018.fit 59417.204677982525 -23351.43140450772 9781.888172191102 33133.31957669882
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0019.fit 59417.20598038341 -24356.162403474096 6592.489706194494 30948.65210966859
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0020.fit 59417.20739691119 -25510.027832835447 8745.539792030584 34255.56762486603
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0021.fit 59417.208743145595 -21975.74821000872 6412.6764095206745 28388.424619529396
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0022.fit 59417.21009880184 -27850.875991916284 3318.6107812877744 31169.48677320406
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0023.fit 59417.211603147145 -21862.66395835858 9222.37780130282 31085.0417596614
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0024.fit 59417.21312186827 -17514.76015006285 9120.011483845301 26634.771633908153
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0025.fit 59417.214398133394 -24950.856598354876 1755.2425971748307 26706.099195529707
Small/ZTFJ1256+2117_07_21_2021_L_60sec_0026.fit 59417.215773524564 -18947.113461428322 6141.8697328884155 25088.983194316737
